id_of_problem,a_benefit_v,a_benefit_p,a_side_effect_v,a_side_effect_p,b_benefit_v,b_benefit_p,b_side_effect_v,b_side_effect_p,EU_a,EU_b,EU_ratio,ENG_a_side_effect_v,ENG_b_side_effect_v,ENG_a_benefit_v,ENG_b_benefit_v,rnumber,pilot_a_benefit_v,pilot_b_benefit_v,pilot_a_side_effect_v,pilot_b_side_effect_v,pilot_id
2,leichte Rückenschmerzen,0.88,Fieber,0.114,leichte Rückenschmerzen,0.733,Juckreiz,0.178,1.304,1.11,1.17477477477477,Fever,Itching,mild back pain,mild back pain,1,2.1,2.1,5.15,4.3,2
3,schwere Halsschmerzen,0.68,Blähungen,0.251,schwere Halsschmerzen,0.614,Gedächtnisverlust,0.051,5.189,4.504,1.15208703374778,Flatulence,Memory Loss,severe sore throat,severe sore throat,2,6.7,6.7,2.65,7.65,3
5,schwere Rückenschmerzen,0.905,Gedächtnisverlust,0.074,schwere Rückenschmerzen,0.709,Blähungen,0.205,7.553,6.176,1.22295984455959,Memory Loss,Flatulence,severe back pain,severe back pain,3,7.4,7.4,7.65,2.65,5
8,leichte Kopfschmerzen,0.545,Halluzinationen,0.067,leichte Kopfschmerzen,0.694,Depression,0.026,1.032,1.822,0.566410537870472,Hallucination,Depression,mild head ache,mild head ache,4,2.75,2.75,7.75,8.05,8
10,schwere Rückenschmerzen,0.921,Blähungen,0.226,schwere Rückenschmerzen,0.73,Schwindel,0.089,8.063,6.125,1.31640816326531,Flatulence,Dizziness,severe back pain,severe back pain,5,7.4,7.4,2.65,5.45,10
11,leichte Halsschmerzen,0.644,Sprachstörungen,0.02,leichte Halsschmerzen,0.914,Durchfall,0.14,0.504,0.494,1.02024291497976,Speech Disorder,Diarrea,mild sore throat,mild sore throat,6,1.85,1.85,6.9,4.55,11
12,leichte Rückenschmerzen,0.688,Fieber,0.122,leichte Rückenschmerzen,0.706,Depression,0.024,0.888,1.172,0.757679180887372,Fever,Depression,mild back pain,mild back pain,7,2.1,2.1,5.15,8.05,12
13,schwere Kopfschmerzen,0.635,Schwindel,0.157,schwere Kopfschmerzen,0.611,Schlaflosigkeit,0.092,5.565,5.558,1.00125944584383,Dizziness,Insomnia,severe head ache,severe head ache,8,7.75,7.75,5.45,6.65,13
14,leichte Rückenschmerzen,0.511,Schwindel,0.049,leichte Rückenschmerzen,0.778,Gedächtnisverlust,0.054,0.777,1.124,0.691281138790035,Dizziness,Memory Loss,mild back pain,mild back pain,9,2.1,2.1,5.45,7.65,14
15,leichte Rückenschmerzen,0.675,Blähungen,0.105,leichte Rückenschmerzen,0.775,Fieber,0.176,1.245,0.846,1.47163120567376,Flatulence,Fever,mild back pain,mild back pain,10,2.1,2.1,2.65,5.15,15
