"","X","...1","a.benefit.v","a.benefit.p","a.side_effect.v","a.side_effect.p","b.benefit.v","b.benefit.p","b.side_effect.v","b.side_effect.p","EU.a","EU.b","EU.ratio"
"1",2,2,2.1,0.88,5.15,0.114,2.1,0.733,4.3,0.178,1.304,1.11,1.17477477477477
"2",3,3,6.7,0.68,2.65,0.251,6.7,0.614,7.65,0.051,5.189,4.504,1.15208703374778
"3",5,5,7.4,0.905,7.65,0.074,7.4,0.709,2.65,0.205,7.553,6.176,1.22295984455959
"4",8,8,2.75,0.545,7.75,0.067,2.75,0.694,8.05,0.026,1.032,1.822,0.566410537870472
"6",10,10,7.4,0.921,2.65,0.226,7.4,0.73,5.45,0.089,8.063,6.125,1.31640816326531
"7",11,11,1.85,0.644,6.9,0.02,1.85,0.914,4.55,0.14,0.504,0.494,1.02024291497976
"8",12,12,2.1,0.688,5.15,0.122,2.1,0.706,8.05,0.024,0.888,1.172,0.757679180887372
"9",13,13,7.75,0.635,5.45,0.157,7.75,0.611,6.65,0.092,5.565,5.558,1.00125944584383
"10",14,14,2.1,0.511,5.45,0.049,2.1,0.778,7.65,0.054,0.777,1.124,0.691281138790035
"11",15,15,2.1,0.675,2.65,0.105,2.1,0.775,5.15,0.176,1.245,0.846,1.47163120567376
"12",16,16,6.7,0.836,8.05,0.014,6.7,0.703,6.65,0.185,6.548,4.514,1.45059813912273
"13",17,17,1.85,0.922,7.75,0.062,1.85,0.563,6.65,0.056,0.364,0.227,1.60352422907489
"14",18,18,4.95,0.584,7.75,0.015,4.95,0.658,7.65,0.027,3.953,4.39,0.900455580865604
"15",19,19,4.35,0.804,5.45,0.064,4.35,0.889,4.55,0.163,3.7,3.956,0.935288169868554
"16",22,22,7.75,0.642,2.65,0.213,7.75,0.902,7.65,0.042,6.207,8.684,0.714762782128052
"17",23,23,4.95,0.828,5.45,0.033,4.95,0.81,4.3,0.104,5.631,5.462,1.03094104723544
"18",26,26,6.7,0.645,4.3,0.215,6.7,0.8,2.65,0.188,4.73,6.212,0.761429491307147
"19",27,27,4.35,0.517,6.9,0.085,4.35,0.835,7.75,0.072,1.99,3.527,0.564218882903317
"20",28,28,6.7,0.9,8.05,0.012,6.7,0.786,4.55,0.181,7.08,5.745,1.23237597911227
"21",29,29,4.95,0.676,5.15,0.058,4.95,0.571,2.65,0.218,4.5,3.779,1.19079121460704
"22",31,31,4.35,0.769,5.15,0.091,4.35,0.681,6.65,0.219,3.481,2.091,1.66475370636059
"23",32,32,4.35,0.86,4.3,0.132,4.35,0.782,8.05,0.014,4.036,3.77,1.07055702917772
"24",34,34,4.95,0.596,6.65,0.145,4.95,0.944,6.9,0.135,3.302,5.663,0.583083171463888
"25",35,35,2.75,0.575,8.05,0.014,2.75,0.724,5.45,0.183,1.585,1.257,1.26093874303898
"26",36,36,4.25,0.791,8.05,0.019,4.25,0.631,7.75,0.019,2.974,2.353,1.26391840203995
"27",39,39,7.4,0.752,4.55,0.146,7.4,0.624,7.65,0.037,6.33,5.32,1.18984962406015
"28",42,42,7.75,0.561,4.3,0.199,7.75,0.824,5.15,0.151,5.212,7.636,0.682556312205343
"29",43,43,4.25,0.767,6.9,0.03,4.25,0.871,6.9,0.117,2.858,2.665,1.07242026266417
