side_effect_text,m,sem,upper,lower,translation,intensity
Blähungen,2.65,0.47724538540957817,3.1272453854095783,2.1727546145904215,Flatulence,1
Juckreiz,4.3,0.5286527066142065,4.828652706614206,3.7713472933857934,Itching,2
Durchfall,4.55,0.5102888758753273,5.060288875875327,4.039711124124673,Diarrea,3
Fieber,5.15,0.4604059993207368,5.610405999320737,4.689594000679263,Fever,4
Schwindel,5.45,0.46721459061571535,5.917214590615716,4.9827854093842845,Dizziness,5
Schlaflosigkeit,6.65,0.4604059993207368,7.110405999320737,6.189594000679263,Insomnia,6
Sprachstörungen,6.9,0.42858395971654817,7.328583959716548,6.471416040283453,Speech Disorder,7
Gedächtnisverlust,7.65,0.364727728298074,8.014727728298075,7.285272271701927,Memory Loss,8
Halluzinationen,7.75,0.37609489284095926,8.126094892840959,7.3739051071590405,Hallucination,9
Depression,8.05,0.2944665113655362,8.344466511365537,7.755533488634464,Depression,10
